Date,Clicks,Impressions,CTR,Position
2026-05-08,0,6,0%,36.5
2026-05-09,0,2,0%,87.5
2026-05-10,0,5,0%,86.2
2026-05-11,0,5,0%,74.4
2026-05-12,0,3,0%,71
2026-05-13,0,10,0%,76.3
2026-05-14,0,11,0%,78.1
2026-05-15,0,12,0%,73
2026-05-16,0,8,0%,76.9
2026-05-17,0,11,0%,68.9
2026-05-18,0,8,0%,74
2026-05-19,0,15,0%,73.1
2026-05-20,0,16,0%,66.9
2026-05-21,0,18,0%,75.8
2026-05-22,0,16,0%,68.7
2026-05-23,0,7,0%,69.4
2026-05-24,0,12,0%,70.7
2026-05-25,0,12,0%,73.6
2026-05-26,0,12,0%,71.6
2026-05-27,0,15,0%,70.5
